书名,作者,豆瓣评分,豆瓣链接
《贩罪》,三天两觉,9.8,https://book.douban.com/subject/26863353/
《盛世龙脉》,刘小骥,9.8,https://book.douban.com/subject/26890883/
《契诃夫小说全集》,[俄] 契诃夫,9.7,https://book.douban.com/subject/25841074/
《冰与火之歌》,[美]乔治·R.R.马丁,9.5,https://book.douban.com/subject/25826936/
《魔戒》,[英] J.R.R.托尔金,9.5,https://book.douban.com/subject/21979017/
《红楼梦》,[清] 曹雪芹 著,9.5,https://book.douban.com/subject/1007305/
《有匪1》,priest,9.5,https://book.douban.com/subject/26886310/
《冰与火之歌（卷三）》,[美] 乔治.R.R.马丁,9.5,https://book.douban.com/subject/1986291/
《金庸全集》,金庸,9.5,https://book.douban.com/subject/3532347/
《冰与火之歌（卷二）》,[美] 乔治.R.R.马丁,9.4,https://book.douban.com/subject/1464203/
《冰与火之歌·卷五·魔龙的狂舞（全三册）》,[美]乔治·R. R. 马丁,9.4,https://book.douban.com/subject/20381804/
《水蛇腰》,汪曾祺,9.4,https://book.douban.com/subject/6529759/
《菲利普迪克作品集（全5册）》,（美）菲利普迪克,9.4,https://book.douban.com/subject/25736982/
《1984》,[英] 乔治·奥威尔,9.3,https://book.douban.com/subject/4820710/
《卡拉马佐夫兄弟》,[俄]陀思妥耶夫斯基,9.3,https://book.douban.com/subject/1856494/
《猎豹》,[挪] 尤·奈斯博,9.3,https://book.douban.com/subject/26892080/
《飘（上下）》,[美国] 玛格丽特·米切尔,9.3,https://book.douban.com/subject/1068920/
《飘二代》,王若冲,9.3,https://book.douban.com/subject/26879246/
《冰与火之歌（卷一）》,[美] 乔治·R. R. 马丁,9.3,https://book.douban.com/subject/1336330/
《卡尔维诺文集（第三卷）》,[意大利] 卡尔维诺,9.3,https://book.douban.com/subject/1066165/
《加缪全集 （小说卷）》,加缪,9.3,https://book.douban.com/subject/4120475/
《三体全集》,刘慈欣,9.3,https://book.douban.com/subject/6518605/
《在少女花影下》,[法] 马塞尔·普鲁斯特 著,9.3,https://book.douban.com/subject/4199421/
《是，首相》,(英)乔纳森·林恩,9.3,https://book.douban.com/subject/20425489/
《百年孤独》,[哥伦比亚] 加西亚·马尔克斯,9.2,https://book.douban.com/subject/6082808/
《杀死一只知更鸟》,[美] 哈珀·李,9.2,https://book.douban.com/subject/6781808/
《动物农场》,[英] 乔治·奥威尔,9.2,https://book.douban.com/subject/2035179/
《一九八四·动物农场》,[英] 乔治·奥威尔,9.2,https://book.douban.com/subject/1082387/
《千门八将1》,高阳,9.2,https://book.douban.com/subject/26890239/
《受戒》,汪曾祺,9.2,https://book.douban.com/subject/1760432/
《三国演义（全二册）》,[明] 罗贯中,9.2,https://book.douban.com/subject/1019568/
《三体Ⅲ》,刘慈欣,9.2,https://book.douban.com/subject/5363767/
